downloads,python_version,distro_name,distro_version
2576269,3.6,Ubuntu,16.04
2276725,3.5,Ubuntu,16.04
2173751,2.7,Debian GNU/Linux,9
1709758,2.7,Amazon Linux AMI,2018.03
1687085,3.6,,
1419975,2.7,Ubuntu,16.04
1199902,3.6,Amazon Linux AMI,2018.03
1148914,3.6,Debian GNU/Linux,9
956686,3.6,Ubuntu,18.04
731130,3.7,,
592500,3.7,Debian GNU/Linux,9
475974,2.7,Amazon Linux AMI,2017.09
387708,3.6,Amazon Linux,2
373275,3.5,,
304251,2.7,Ubuntu,14.04
297833,3.7,Debian GNU/Linux,10
291048,2.7,Ubuntu,18.04
250927,3.7,Ubuntu,16.04
243898,3.5,Debian GNU/Linux,9
238260,3.7,Ubuntu,18.04
232167,3.6,Debian GNU/Linux,10
220465,2.7,Amazon Linux AMI,2016.03
212657,3.5,Ubuntu,14.04
206262,3.6,CentOS Linux,7
190369,,,
185270,2.7,Debian GNU/Linux,8
176546,2.7,,
169880,3.6,Ubuntu,14.04
165223,2.7,CentOS Linux,7
152170,3.6,Debian GNU/Linux,8
126053,3.7,macOS,10.14.5
107597,3.7,Amazon Linux,2
81409,3.6,Amazon Linux AMI,2017.09
73730,2.7,Debian GNU/Linux,10
71565,3.4,Amazon Linux AMI,2018.03
53351,2.7,Amazon Linux AMI,2016.09
51803,3.6,Amazon Linux AMI,2016.03
49296,3.7,Amazon Linux AMI,2018.03
42393,2.7,macOS,10.14.5
40936,3.6,macOS,10.14.5
37971,3.7,Ubuntu,14.04
37117,3.6,Red Hat Enterprise Linux Server,7.6
36693,2.7,Amazon Linux AMI,2017.03
35894,3.7,CentOS Linux,7
34915,3.5,Amazon Linux AMI,2016.03
33955,3.7,macOS,10.13.6
33653,3.7,Ubuntu,19.04
33585,3.5,Debian GNU/Linux,10
33558,3.5,Ubuntu,18.04
33552,3.7,macOS,10.14.6
32110,3.5,Amazon Linux AMI,2018.03
31850,2.7,macOS,10.13.6
23614,3.6,Fedora,28
21963,3.6,Red Hat Enterprise Linux Server,7.4
21180,3.5,CentOS Linux,7
16196,3.7,macOS,10.14.4
15980,3.6,macOS,10.13.6
15416,3.5,Debian GNU/Linux,8
15412,3.7,Amazon Linux AMI,2016.03
12343,3.4,Amazon Linux AMI,2017.09
12129,3.6,macOS,10.13.3
12046,2.7,Ubuntu,12.04
11694,3.7,Arch Linux,
11472,3.6,Ubuntu,18.10
11295,2.7,macOS,10.14.6
11008,3.6,Amazon Linux AMI,2017.03
10712,3.6,CentOS,6.10
10382,2.7,macOS,10.13.3
10177,2.7,Amazon Linux AMI,2015.09
10095,2.7,macOS,10.12.6
10085,3.6,Ubuntu,17.10
9737,3.7,Manjaro Linux,18.0.4
9520,3.7,macOS,10.12.6
9388,2.7,Amazon Linux,2
9194,2.7,Red Hat Enterprise Linux Server,7.0
9170,3.7,macOS,10.14.3
8683,3.7,macOS,10.13.3
8615,3.6,macOS,10.14.6
8402,3.7,Fedora,30
8093,3.7,Red Hat Enterprise Linux Server,7.6
7922,3.6,Linux Mint,19.1
7558,3.7,Ubuntu,18.10
7538,3.6,Alpine Linux,3.7.3
7474,2.7,CentOS Linux,7.6.1810
6995,2.7,Ubuntu,19.04
6833,3.4,Amazon Linux AMI,2017.03
6748,3.6,Alpine Linux,3.6.2
6611,3.6,macOS,10.12.6
6405,2.7,macOS,10.14.3
6151,2.7,Ubuntu,16.10
6069,3.5,debian,9.9
6064,3.6,macOS,10.14.4
5692,3.6,Red Hat Enterprise Linux Server,6.10
5603,2.7,Red Hat Enterprise Linux Server,7.6
5486,3.7,macOS,10.14
5427,3.5,macOS,10.13.3
5256,2.7,CentOS,6.10
5172,3.6,CentOS Linux,7.6.1810
5154,3.5,macOS,10.14.5
5067,2.7,Ubuntu,18.10
4946,2.7,macOS,10.14.4
4752,2.7,Alpine Linux,3.10.0
4667,3.6,Red Hat Enterprise Linux Server,7.5
4368,3.4,Ubuntu,14.04
4304,3.5,macOS,10.13.6
4294,3.7,Fedora,29
3860,3.4,,
3854,3.7,macOS,10.14.2
3728,3.6,macOS,10.14.3
3614,3.6,Debian GNU/Linux,
3561,3.6,CentOS,5.11
3277,3.5,CentOS,6.10
3247,3.6,macOS,10.14
3225,3.7,macOS,10.15
3083,3.7,Arch Linux,rolling
3070,3.7,Alpine Linux,3.10.1
3056,2.7,CentOS,5.11
3031,2.7,Linux Mint,19.1
3024,3.7,CentOS,5.11
2950,3.6,Red Hat Enterprise Linux,8.0
2803,3.7,CentOS,6.10
2615,2.7,Fedora,30
2606,3.7,macOS,10.11.6
2576,3.5,Red Hat Enterprise Linux Server,7.5
2500,2.7,Debian GNU/Linux,7
2458,3.5,debian,stretch/sid
2444,3.5,CentOS,5.11
2442,3.7,Debian GNU/Linux,
2392,2.7,macOS,10.14
2369,3.5,Amazon Linux AMI,2017.09
2361,3.7,macOS,10.14.1
2345,2.7,debian,jessie/sid
2327,2.7,macOS,10.14.2
2296,3.6,Ubuntu,19.04
2229,3.7,Amazon Linux AMI,2017.03
2209,3.6,Fedora,27
2191,3.6,Linux Mint,19
2169,3.7,Linux Mint,19.1
2148,3.7,Kali GNU/Linux,2019.2
2112,3.4,Ubuntu,18.04
2069,2.7,CentOS Linux,7.5.1804
2047,3.7,Pop!_OS,19.04
2035,3.4,Debian GNU/Linux,9
2034,3.7,Alpine Linux,3.10.0
1961,3.6,Oracle Linux Server,7.6
1928,2.7,macOS,10.13.4
1912,3.6,openSUSE Leap,15.0
1899,3.6,Gentoo,2019050701
1876,2.7,CentOS,6.9
1806,2.7,Red Hat Enterprise Linux Server,7.4
1726,3.7,macOS,10.13.4
1719,3.5,macOS,10.12.6
1681,3.6,macOS,10.14.2
1657,2.7,Red Hat Enterprise Linux Server,7.5
1610,3.6,Fedora,20
1582,3.6,macOS,10.11.6
1534,3.5,macOS,10.14.6
1464,3.6,Alpine Linux,3.8.4
1416,3.6,CentOS,6.9
1409,3.6,Alpine Linux,3.10.1
1386,3.6,elementary OS,5.0
1370,3.4,Debian GNU/Linux,8
1348,2.7,macOS,10.11.6
1297,2.7,CentOS,6.8
1288,3.7,Red Hat Enterprise Linux Server,7.7
1246,3.5,debian,8.4
1176,2.7,debian,stretch/sid
1168,3.5,debian,jessie/sid
1162,3.7,Raspbian GNU/Linux,10
1126,3.4,Ubuntu,16.04
1112,3.6,Arch Linux,
1099,2.7,macOS,10.15
1099,2.7,macOS,10.14.1
1054,3.6,macOS,10.14.1
1046,2.7,CentOS Linux,7.4.1708
989,3.7,Amazon Linux AMI,2017.09
954,3.7,Kali GNU/Linux,2019.3
951,2.7,CentOS Linux,7.3.1611
926,3.6,macOS,10.13.4
916,3.6,openSUSE Leap,15.1
914,2.7,openSUSE Leap,15.0
910,3.7,Ubuntu,19.10
895,3.5,Amazon Linux AMI,2017.03
892,3.5,Linux Mint,18.3
883,3.4,CentOS,6.10
873,3.7,Debian GNU/Linux,8
868,3.7,macOS,10.13.5
864,2.7,Scientific Linux,7.6
833,2.7,Linux Mint,19
824,2.7,Oracle Linux Server,7.6
821,3.6,Red Hat Enterprise Linux Workstation,7.6
809,3.6,Fedora,30
806,3.7,Amazon Linux,2.0
795,2.7,CentOS Linux,7.2.1511
791,3.6,Pop!_OS,18.04
783,3.7,Ubuntu,16.10
779,3.7,Debian GNU/Linux,testing
778,3.6,KDE neon,18.04
776,3.6,Manjaro Linux,18.0.4
774,2.7,Fedora,29
767,3.6,Scientific Linux,7.6
741,3.5,Debian GNU/Linux,7
716,3.7,Antergos Linux,
677,3.4,CentOS Linux,7
675,3.7,Alpine Linux,3.9.3
672,3.7,macOS,10.10.5
658,3.6,Gentoo,2019062001
658,3.7,Alpine Linux,3.9.4
640,2.7,Kali GNU/Linux,2019.2
638,3.6,Gentoo,2019071201
626,2.7,Virtuozzo,7
621,3.7,Red Hat Enterprise Linux Server,7.5
605,3.6,Red Hat Enterprise Linux Server,7.3
601,3.6,RedHatEnterpriseWorkstation,6.6
592,2.7,Amazon Linux AMI,2014.09
588,3.6,macOS,10.15
587,3.7,Linux Mint,19
582,3.5,Raspbian GNU/Linux,9
574,2.7,Red Hat Enterprise Linux,8.0
565,3.6,Alpine Linux,3.8.2
557,3.6,RedHatEnterpriseServer,6.10
556,2.7,Alibaba Group Enterprise Linux Server,7.2
549,3.6,CentOS,6.8
549,3.6,CentOS,6.6
544,3.7,Alpine Linux,3.8.2
535,3.6,Alpine Linux,3.9.0
534,3.6,Fedora,26
528,3.6,Alpine Linux,3.10.0
528,3.6,macOS,10.13.5
526,2.7,Arch Linux,
523,3.6,Linux Mint,18.3
514,3.6,Linux Mint,19.2
503,3.7,Alpine Linux,3.9.2
501,3.5,macOS,10.14.4
498,3.6,Gentoo,2.6
497,3.5,Amazon Linux AMI,2016.09
495,3.7,Raspbian GNU/Linux,9
489,2.7,Ubuntu,17.10
484,3.5,Red Hat Enterprise Linux Server,7.6
479,3.5,CentOS,6.9
475,2.7,Manjaro Linux,18.0.4
467,3.7,Linux Mint,18.3
457,2.7,Fedora,25
456,3.6,CentOS Linux,7.5.1804
454,3.6,Red Hat Enterprise Linux Server,5.3
444,3.6,SLES,12.3
443,3.6,Fedora,29
438,3.7,macOS,10.13.2
433,3.4,CentOS,5.11
413,2.7,Red Hat Enterprise Linux Server,7.3
404,3.7,Debian GNU/Linux,unstable
403,2.7,elementary OS,5.0
399,2.7,Fedora,28
393,2.7,Linux Mint,18.3
392,3.7,debian,9.9
391,3.7,macOS,10.13.1
376,2.7,Pop!_OS,19.04
374,2.7,Debian GNU/Linux,
372,2.7,CentOS,6.6
371,2.7,Oracle Linux Server,6.10
364,3.7,Red Hat Enterprise Linux Server,7.4
361,2.7,SLES,12.1
359,3.5,Amazon Linux,2
358,3.6,Amazon Linux AMI,2016.09
346,3.7,Oracle Linux Server,7.6
342,2.7,macOS,10.10.5
337,3.5,Lexmark Poky (Yocto Project Reference Distro),2.5.3
333,3.5,LinuxMint,18.3
329,3.6,macOS,10.13.1
328,3.5,Deepin,15.11
325,3.6,macOS,10.13.2
325,3.7,Ubuntu Core,18
320,3.6,CentOS,6.5
320,2.7,VMware Photon OS,3.0
319,3.6,CentOS Linux,7.4.1708
313,3.7,Antergos Linux,rolling
309,2.7,Ubuntu,10.04
308,3.7,Parrot GNU/Linux,4.7
306,2.7,Fedora,27
304,3.7,Scientific,6.6
304,3.7,elementary OS,5.0
297,3.6,CentOS,6.7
296,3.5,Ubuntu,19.04
295,3.7,Freedesktop.org,18.08.34
289,3.6,Arch Linux,rolling
285,3.6,Solus,4.0
284,3.5,Deepin,15.10.1
284,3.6,Alibaba Group Enterprise Linux Server,7.2
283,3.6,Gentoo,2019080201
278,3.5,VMware Photon,1.0
276,3.7,macOS,10.12.5
276,2.7,CentOS,6.5
276,3.7,Kali GNU/Linux,2019.1
275,2.7,Red Hat Enterprise Linux Workstation,7.6
275,2.7,macOS,10.13.5
273,3.5,SLES,11.4
272,2.7,Raspbian GNU/Linux,10
272,2.7,openSUSE Leap,42.3
268,3.6,Linux Mint,18.1
266,3.6,Tencent tlinux,2.2
262,3.6,CentOS Linux,7.3.1611
259,3.7,Red Hat Enterprise Linux Workstation,7.5
258,3.6,Alpine Linux,3.8.0
256,3.5,macOS,10.11.6
254,2.7,RedHatEnterpriseServer,6.10
254,3.5,Fedora,25
253,3.5,Linux Mint,18.1
248,3.6,Alpine Linux,3.9.2
244,3.6,Red Hat Enterprise Linux,8.1
243,3.7,Red Hat Enterprise Linux Workstation,7.6
239,3.5,macOS,10.14.3
237,3.7,KDE neon,18.04
237,3.5,CentOS,6.8
234,3.7,CentOS,6.9
230,2.7,Red Hat Enterprise Linux Server,7.2
228,2.7,Arch Linux,rolling
220,3.6,void,rolling
219,3.5,Red Hat Enterprise Linux Server,7.4
216,3.5,CentOS Linux,7.6.1810
216,2.7,Ubuntu,15.04
216,3.5,Ubuntu,12.04
215,2.7,macOS,10.13.1
214,3.6,SLES,11.4
212,3.5,Linux Mint,18.2
211,3.6,Pop!_OS,18.10
206,3.6,macOS,10.10.5
205,2.7,debian,8.4
202,3.6,Fedora,23
198,3.6,VMware Photon OS,3.0
197,3.6,Zorin OS,15
196,3.5,debian,8.11
196,3.7,macOS,10.13
195,3.6,Linux Mint,18.2
195,3.6,Amazon Linux,2.0
193,3.5,macOS,10.14
193,3.6,Scientific,6.10
192,3.7,Pop!_OS,18.04
190,2.7,KDE neon,18.04
183,3.7,Gentoo,2.6
183,3.6,Alpine Linux,3.9.4
182,2.7,macOS,10.13.2
182,3.6,Alpine Linux,3.8.1
180,2.7,Linux Mint,19.2
178,3.6,Red Hat Enterprise Linux Workstation,7.5
177,2.6,CentOS Linux,7
176,3.5,OS X,10.14.5
176,3.7,macOS,10.9.5
175,3.5,Deepin,15.10.2
175,3.6,Pop!_OS,19.04
174,2.7,Kali GNU/Linux,2019.3
171,3.7,Scientific Linux,7.6
167,2.7,RedHatEnterpriseServer,6.9
165,2.7,openSUSE Leap,15.1
165,2.7,Debian GNU/Linux,testing
165,2.7,Linux Mint,18.2
163,3.5,Ubuntu,17.04
162,3.5,Scientific Linux,7.4
162,3.6,DGX OS,18.04
161,3.7,macOS,10.12.4
159,3.7,Fedora,28
159,2.7,Pop!_OS,18.04
157,3.7,Linux Mint,18.1
155,2.7,Amazon Linux AMI,2015.03
154,3.5,macOS,10.14.2
152,3.5,debian,buster/sid
152,3.6,SLES,15
152,3.7,RedHatEnterpriseServer,6.10
151,2.7,Oracle Linux Server,7.4
150,2.7,Alpine Linux,3.7.0
150,3.5,Ubuntu,10.04
149,3.6,Ubuntu,12.04
149,2.7,Tencent tlinux,2.2
149,3.7,Pengwin,10
148,3.7,Arch Linux,2019.1.20
147,3.6,macOS,10.12.5
141,3.7,Deepin,15.11
141,2.7,SLES,12.3
140,2.7,SLES,12.4
140,3.6,Gentoo,2019073101
139,3.6,Deepin,15.10.2
137,2.7,Red Hat Enterprise Linux Workstation,7.5
137,3.4,Amazon Linux AMI,2016.03
136,3.7,Ubuntu,17.04
135,3.7,Slackware,14.2
135,2.7,CentOS,6.7
132,3.7,Linux Mint,19.2
131,3.8,Ubuntu,18.04
127,3.7,Kali GNU/Linux,2018.4
126,3.6,openSUSE Leap,42.3
125,3.7,Linux Mint,18.2
124,3.7,Anarchy Linux,
123,2.7,Ubuntu,17.04
123,3.6,Deepin,15.11
123,2.7,CentOS,6.4
122,2.7,Oracle Linux Server,7.5
122,3.7,Debian GNU/Linux,stable-updates
121,3.6,Kali GNU/Linux,2019.1
120,2.7,Alpine Linux,3.7.3
119,3.7,Exherbo,
119,3.7,CentOS,6.5
118,3.7,openSUSE Tumbleweed,20190708
117,2.7,Parrot GNU/Linux,4.7
117,2.7,ScientificCERNSLC,6.9
117,3.5,elementary OS,0.4.1
116,2.7,Linux Mint,18
115,2.7,CentOS,6.3
114,3.6,Amazon Linux AMI,2015.09
114,3.6,SLES,12.2
112,3.7,Freedesktop.org,18.08.33
112,3.6,Scientific,6.9
112,3.7,macOS,10.12
111,3.4,macOS,10.13.3
110,3.5,Devuan GNU/Linux,2.0
109,3.7,openSUSE Tumbleweed,20190730
108,3.6,elementary OS,0.4.1
108,3.7,Red Hat Enterprise Linux Server,7.3
107,3.5,Linux Mint,18
106,3.6,Debian GNU/Linux,testing
103,2.7,Ubuntu,15.10
103,3.7,CentOS,6.7
102,2.7,Kali GNU/Linux,2019.1
102,2.7,Fedora,26
101,2.6,Amazon Linux AMI,2018.03
101,3.6,Ubuntu,10.04
101,2.7,Alpine Linux,3.10.1
100,3.7,Red Hat Enterprise Linux Workstation,7.3
100,2.7,macOS,10.9.5
99,3.6,Ubuntu,19.10
99,2.7,macOS,10.13
99,3.6,RedHatEnterpriseServer,6.9
99,3.6,debian,9.9
98,3.5,Linux Mint,19.1
98,2.7,Gentoo,2.6
98,2.7,Red Hat Enterprise Linux Workstation,7.4
98,3.7,Red Hat Enterprise Linux Server,5.3
98,3.7,macOS,10.12.3
98,3.7,Arch Linux ARM,
97,2.7,macOS,10.12.5
95,3.5,LinuxMint,18.2
95,3.6,Red Hat Enterprise Linux Server,7.2
94,3.7,Alibaba Group Enterprise Linux Server,7.2
94,2.7,Alpine Linux,3.9.4
94,3.7,LMDE,3
93,2.7,debian,8.6
93,2.7,debian,buster/sid
93,2.7,Vecima Reference Distribution,2.3
92,3.5,Amazon Linux AMI,2015.09
92,3.6,Gentoo,2019071101
92,3.6,CentOS Linux,7.2.1511
92,3.7,Deepin,15.10.1
91,2.7,Linux Mint,18.1
90,3.6,ScientificCERNSLC,6.10
90,2.7,macOS,10.12.3
89,2.7,LinuxMint,18.3
89,3.5,Manjaro Linux,18.0.4
88,3.4,Debian GNU/Linux,7
88,2.7,Raspbian GNU/Linux,9
88,3.5,Arch Linux,
88,2.6,CentOS,6.9
87,2.7,debian,8.5
87,3.7,Amazon Linux AMI,2015.09
87,2.7,Deepin,15.11
87,3.5,Ubuntu Kylin,16.04
86,3.6,RedHatEnterpriseServer,6.7
86,3.6,Oracle Linux Server,7.5
86,2.7,Zorin OS,15
86,2.7,Ubuntu,19.10
85,3.7,macOS,10.11.4
85,3.7,openSUSE Tumbleweed,20190704
84,3.7,CentOS,6.6
84,3.4,macOS,10.13.6
83,3.6,Deepin,15.10.1
82,2.7,CentOS Linux,7.1.1503
82,3.5,LinuxMint,18.1
81,3.5,CentOS,6.6
81,3.7,Red Hat Enterprise Linux,8.0
81,3.6,macOS,10.12.4
81,2.7,debian,8.11
80,3.7,SLES,12.3
80,3.7,elementary OS,0.4.1
79,3.7,Fedora,27
79,3.6,Linux Mint,18
78,2.7,Red Hat Enterprise Linux Server,5.3
78,3.7,Ubuntu,17.10
78,2.7,Ubuntu Kylin,16.04
78,3.7,Clear Linux OS,30650
78,2.7,Slackware,14.2
77,2.7,Deepin,15.10.2
77,3.5,Fedora,27
77,3.6,Red Hat Enterprise Linux Server,7.7
77,3.5,Red Hat Enterprise Linux Server,7.2
77,3.6,CentOS,6.3
76,3.7,Debian GNU/Linux,testing/unstable
76,3.7,macOS,10.12.2
75,3.7,Red Hat Enterprise Linux Server,7.2
75,2.7,macOS,10.12.4
74,3.5,LMDE,3
74,3.5,Red Hat Enterprise Linux Server,7.3
73,3.7,CentOS,6.8
73,3.5,macOS,10.14.1
73,3.7,Deepin,15.10.2
73,3.7,Linux Mint,18
72,3.7,Zorin OS,15
72,3.6,Scientific Linux,7.4
72,3.6,RedHatEnterpriseServer,6.5
71,3.7,Fedora,25
69,3.6,Alpine Linux,3.7.0
69,3.6,GalliumOS,3.0
68,3.6,Ubuntu,17.04
68,3.5,Ubuntu,16.10
67,2.7,Scientific Linux CERN SLC,6.10
67,2.7,Deepin,15.10.1
66,3.5,macOS,10.13.4
66,3.5,Fedora,30
66,3.7,Pop!_OS,18.10
66,3.5,debian,8.6
65,3.5,Linux Mint,19
65,3.7,Ubuntu,12.04
65,3.6,Deepin,15.9
65,3.5,macOS,10.15
64,3.5,Ubuntu,18.10
64,2.7,nsoslx,1.0
64,3.5,CentOS Linux,7.4.1708
64,2.7,elementary OS,0.4.1
63,3.5,LinuxMint,18
63,2.7,debian,9.9
63,3.7,Alpine Linux,3.9.0
63,3.6,Scientific Linux,7.3
63,3.4,CentOS,6.7
62,3.7,Clear Linux OS,30500
62,3.6,Kali GNU/Linux,2019.2
62,3.7,Clear Linux OS,30170
62,3.7,openSUSE Tumbleweed,20190726
62,3.6,Oracle Linux Server,6.10
62,3.7,Tencent tlinux,2.2
62,3.5,CentOS,6.5
61,3.4,RedHatEnterpriseServer,6.9
61,3.4,macOS,10.12.6
60,3.6,Red Hat Enterprise Linux Workstation,7.3
60,2.7,Debian GNU/Linux,stable-updates
60,3.7,Debian,6.0.10
60,3.7,openSUSE Leap,15.0
59,3.5,"""elementary""",0.4.1
59,3.5,debian,8.5
59,3.6,Red Hat Enterprise Linux Workstation,7.4
59,2.7,OS X,10.14.5
59,3.5,OS X,10.13.6
59,3.6,SLES,12.4
58,3.7,openSUSE Tumbleweed,20190721
58,2.7,RedHatEnterpriseServer,6.8
57,2.7,Kali GNU/Linux,2018.4
57,3.7,Fedora,31
57,3.6,macOS,10.13
57,3.6,macOS,10.12.2
56,2.7,LMDE,3
56,3.5,Fedora,29
56,3.6,macOS,10.12.3
55,2.7,Red Hat Enterprise Linux Server,6.10
55,3.7,Antergos Linux,19.4
55,3.7,openSUSE Leap,15.1
55,3.7,openSUSE Tumbleweed,20190723
54,3.6,Antergos Linux,
54,3.7,macOS,10.12.1
54,3.6,Oracle Linux Server,7.4
54,3.7,Clear Linux OS,30340
53,3.8,,
53,3.6,Oracle Linux Server,7.2
53,3.7,Manjaro Linux,18.0.3
53,3.5,Arch Linux,rolling
53,3.8,macOS,10.14.5
53,3.6,RedHatEnterpriseServer,6.6
53,3.7,Kali GNU/Linux,2018.3
52,3.6,Ubuntu Kylin,16.04
52,3.7,Solus,4.0
52,2.7,Pop!_OS,18.10
52,3.5,CentOS,6.7
52,3.6,Scientific Linux,7.5
52,3.6,Nest,6.9
51,2.7,macOS,10.11.5
51,3.7,RedHatEnterpriseServer,6.7
50,2.7,macOS,10.12.1
50,3.5,Alpine Linux,3.10.1
50,3.7,Parrot GNU/Linux,4.6
49,2.7,Fedora,20
49,3.6,macOS,10.11.5
48,3.6,RedHatEnterpriseServer,6.8
48,3.4,macOS,10.14.5
48,3.6,Fedora,31
47,3.7,Debian GNU/Linux,9.9
47,3.4,CentOS Linux,7.6.1810
47,3.6,Ubuntu,15.10
47,3.6,Exherbo,
47,3.7,macOS,10.11.5
47,3.7,Mageia,7
